dates,comments
2014-07-04 15:50:00,81
2014-07-04 19:13:01,98
2014-07-04 21:00:01,12
2014-07-05 14:05:01,44
2014-07-05 17:00:01,20
2014-07-05 22:10:00,28
2014-07-05 23:40:01,15
2014-07-06 19:30:00,66
2014-07-06 22:00:00,33
2014-07-07 13:30:01,16
2014-07-07 15:05:00,34
2014-07-07 18:10:01,17
2014-07-07 22:26:18,3
2014-07-07 23:28:04,16
2014-07-08 00:53:00,10
2014-07-08 01:28:10,30
2014-07-08 20:38:19,19
2014-07-08 21:41:20,80
2014-07-08 22:23:12,24
2014-07-09 14:12:09,35
2014-07-09 14:28:13,20
2014-07-09 16:02:33,3
2014-07-09 16:13:52,4
2014-07-09 20:04:36,6
2014-07-09 22:15:25,58
2014-07-10 15:08:41,6
2014-07-10 19:54:50,92
2014-07-10 20:35:07,14
2014-07-10 21:30:00,16
2014-07-10 22:31:19,10
2014-07-10 23:05:00,73
2014-07-11 00:43:12,79
2014-07-11 01:07:28,1
2014-07-11 01:28:52,2
2014-07-11 01:59:53,2
2014-07-11 14:40:51,5
2014-07-11 15:21:48,7
2014-07-11 15:31:22,8
2014-07-11 18:15:01,2
2014-07-12 14:15:01,20
2014-07-12 18:00:01,24
2014-07-12 20:19:47,66
2014-07-12 20:20:01,27
2014-07-13 13:16:29,31
2014-07-13 14:06:01,69
2014-07-13 17:09:31,144
2014-07-13 18:25:22,17
2014-07-13 19:30:00,52
2014-07-14 14:54:18,2
2014-07-14 15:16:46,3
2014-07-14 15:46:30,6
2014-07-14 16:56:07,10
2014-07-14 17:05:02,15
2014-07-14 19:35:15,34
2014-07-14 20:39:01,13
2014-07-14 22:10:00,48
2014-07-15 01:00:01,20
2014-07-15 14:27:18,63
2014-07-15 17:15:34,88
2014-07-15 18:09:48,22
2014-07-15 18:35:01,20
2014-07-15 20:00:01,21
2014-07-15 21:15:00,32
2014-07-15 23:15:23,26
2014-07-16 00:20:16,11
2014-07-16 03:49:26,26
2014-07-16 14:20:01,25
2014-07-16 18:25:00,31
2014-07-16 20:39:13,2
2014-07-16 22:00:28,10
2014-07-17 00:18:51,33
2014-07-17 00:45:12,12
2014-07-17 01:17:31,9
2014-07-17 01:29:30,62
2014-07-17 01:56:06,15
2014-07-17 02:40:17,11
2014-07-17 03:10:25,53
2014-07-17 13:55:00,2
2014-07-17 17:35:52,8
2014-07-17 20:20:00,34
2014-07-17 23:36:42,450
2014-07-18 02:54:26,19
2014-07-18 14:55:00,23
2014-07-18 16:00:01,39
2014-07-18 17:00:00,10
2014-07-18 17:00:00,10
2014-07-18 18:10:01,9
2014-07-18 20:25:00,8
2014-07-18 20:59:42,69
2014-07-18 23:15:00,4
2014-07-19 02:05:01,80
2014-07-19 13:00:00,10
2014-07-19 16:00:01,20
2014-07-19 19:20:00,11
2014-07-19 19:55:54,133
2014-07-19 20:50:15,26
2014-07-20 13:05:00,4
2014-07-20 15:10:00,7
2014-07-20 16:27:56,17
2014-07-20 17:53:02,31
2014-07-20 22:54:18,90
2014-07-21 01:03:07,20
2014-07-21 21:13:46,163
2014-07-22 01:05:01,132
2014-07-22 18:03:40,27
2014-07-22 23:22:21,124
2014-07-23 01:05:00,22
2014-07-23 14:32:49,101
2014-07-23 21:11:01,16
2014-07-24 14:05:00,2
2014-07-24 17:52:45,46
2014-07-24 19:55:44,17
2014-07-24 20:02:59,2
2014-07-24 20:20:01,9
2014-07-24 21:09:11,40
2014-07-24 22:10:00,45
2014-07-25 00:22:37,23
2014-07-25 00:57:51,21
2014-07-25 01:41:05,58
2014-07-25 02:55:23,29
2014-07-25 17:14:40,25
2014-07-25 19:32:07,43
2014-07-25 19:49:07,11
2014-07-25 20:09:02,15
2014-07-25 21:25:17,5
2014-07-25 22:05:00,30
2014-07-25 23:39:42,3
2014-07-26 00:03:55,40
2014-07-26 14:20:00,30
2014-07-26 14:50:34,132
2014-07-26 15:00:32,10
2014-07-26 17:21:55,30
2014-07-26 18:57:54,6
2014-07-26 19:31:17,54
2014-08-07 02:01:59,41
2014-08-07 02:25:41,50
2014-08-07 03:35:14,38
2014-08-07 17:26:52,5
2014-08-07 20:00:00,13
2014-08-07 21:45:53,26
2014-08-08 01:07:50,35
2014-08-08 01:43:31,35
2014-08-08 02:17:08,22
2014-08-08 03:05:35,11
2014-08-08 03:13:59,9
2014-08-08 03:22:13,12
2014-08-08 14:23:27,13
2014-08-08 14:40:53,27
2014-08-08 16:30:23,6
2014-08-08 16:51:39,11
2014-08-08 22:00:01,24
2014-08-09 13:00:00,27
2014-08-09 16:48:42,7
2014-08-09 17:43:14,9
2014-08-09 20:05:01,12
2014-08-09 23:10:01,16
2014-08-10 15:25:00,12
2014-08-10 20:00:01,16
2014-08-11 14:25:00,17
2014-08-11 18:45:00,6
2014-08-11 23:25:01,6
2014-08-12 16:55:17,5
2014-08-12 19:20:00,5
2014-08-12 21:35:39,101
2014-08-12 23:36:24,40
2014-08-13 02:05:01,20
2014-08-13 16:31:07,11
2014-08-13 17:43:36,15
2014-08-13 19:46:54,12
2014-08-13 20:10:00,51
2014-08-13 20:44:57,48
2014-08-13 22:00:00,6
2014-08-14 02:33:15,478
2014-08-14 14:20:00,2
2014-08-14 19:16:27,5
2014-08-14 21:49:05,15
2014-08-15 15:47:24,26
2014-08-15 19:54:40,27
2014-08-16 01:52:34,14
2014-08-16 15:54:57,15
2014-08-16 16:29:50,21
2014-08-16 17:48:06,18
2014-08-16 19:13:09,40
2014-08-16 21:28:33,23
2014-08-17 16:33:20,7
2014-08-17 16:46:44,67
2014-08-17 22:02:56,36
2014-08-18 17:01:37,149
2014-08-19 14:00:04,29
2014-08-19 22:39:20,31
2014-08-19 22:40:48,31
2014-08-19 23:22:58,9
2014-08-20 02:00:00,10
2014-08-20 14:40:00,9
2014-08-20 22:00:01,50
2014-08-21 02:05:00,7
2014-08-21 03:29:15,129
2014-08-21 13:45:01,52
2014-08-21 15:47:01,27
2014-08-21 20:20:00,4
2014-08-21 22:06:11,48
2014-08-22 00:38:54,16
2014-08-22 01:07:24,7
2014-08-22 01:54:26,65
2014-08-22 15:15:17,25
2014-08-22 18:28:49,5
2014-08-22 21:30:25,21
2014-08-22 23:53:58,16
2014-08-23 01:05:22,7
2014-08-23 02:00:01,113
2014-08-23 13:53:02,15
2014-08-23 15:39:33,35
2014-08-23 17:25:01,12
2014-08-23 20:00:00,203
2014-08-23 22:30:01,23
2014-08-24 01:05:00,56
2014-08-24 17:15:53,19
2014-08-24 20:00:01,216
2014-08-24 22:22:39,189
2014-08-25 14:49:46,178
2014-08-25 17:05:59,293
2014-08-26 00:25:00,27
2014-08-26 01:30:00,7
2014-08-26 15:26:36,43
2014-08-26 20:57:57,5
2014-08-26 22:57:46,10
2014-08-26 23:42:53,30
2014-08-27 00:11:50,12
2014-08-27 01:25:01,6
2014-08-27 03:00:01,14
2014-08-27 03:30:01,4
2014-08-27 13:40:01,18
2014-08-27 16:53:53,35
2014-08-27 19:20:38,5
2014-08-27 21:00:00,15
2014-08-27 23:00:01,76
2014-08-28 01:00:01,44
2014-08-28 02:55:01,12
2014-08-28 16:49:06,92
2014-08-28 19:51:20,57
2014-08-28 23:33:20,108
2014-08-29 01:00:01,27
2014-08-29 02:00:01,2
2014-08-29 13:29:14,3
2014-08-29 13:42:48,11
2014-08-29 14:15:00,45
2014-08-29 18:44:50,12
2014-08-29 21:00:00,144
2014-08-30 01:00:01,2
2014-08-30 03:50:48,6
2014-08-30 04:37:17,10
2014-08-30 14:30:00,24
2014-08-30 17:30:00,35
2014-08-30 18:02:15,44
2014-08-30 22:00:01,46
2014-08-31 02:00:01,10
2014-08-31 14:44:26,24
2014-08-31 16:15:01,13
2014-08-31 18:25:01,44
2014-08-31 20:57:30,53
2014-09-01 00:00:01,24
2014-09-01 02:00:01,33
2014-09-01 19:00:02,16
2014-09-01 21:48:30,87
2014-09-01 23:25:00,10
2014-09-02 00:00:00,112
2014-09-02 02:00:01,59
2014-09-02 15:38:12,124
2014-09-02 17:10:01,19
2014-09-02 21:05:01,15
2014-09-02 22:00:01,40
2014-09-03 01:00:00,9
2014-09-03 02:00:01,82
2014-09-03 15:00:01,25
2014-09-03 16:45:01,13
